feature,mean_importance
feature_19,-4.537394450895814e-05
feature_14,-2.5571046424729264e-05
feature_3,-1.6264328546943332e-06
feature_1,0.0
feature_29,0.0
feature_13,0.0
feature_12,0.0
feature_10,0.0
feature_9,0.0
feature_7,0.0
feature_6,0.0
feature_24,0.0
feature_25,0.0
feature_23,0.0
feature_18,0.0
feature_20,7.839174008220095e-07
feature_4,3.264970161375013e-05
feature_16,3.803706978233578e-05
feature_30,6.0108292700603895e-05
feature_22,0.00013647592026698203
feature_26,0.00014988770810393757
feature_21,0.00017106163618654924
feature_2,0.0003385568060905033
feature_8,0.0018972700180802196
feature_27,0.0029991806315387785
feature_28,0.0033146878645215635
feature_17,0.004203822134951572
feature_5,0.004740010036387261
feature_15,0.004805591143271304
feature_11,0.004871602951848171
