feature,shap_importance
feature_15,0.037232410504358014
feature_11,0.029830047484309778
feature_5,0.021773710175829502
feature_17,0.015733098447244562
feature_8,0.008988380857880751
feature_2,0.007797896581167276
feature_21,0.00282360413125405
feature_22,0.0021284585815938757
feature_4,0.0020176935918663607
feature_30,0.0018535651618762762
feature_14,0.001838597483865069
feature_16,0.0017574467677326632
feature_19,0.0017019452913543001
feature_27,0.0013010978158168901
feature_26,0.0012428519693623045
feature_28,0.0010491829891759723
feature_3,0.0008615017909620126
feature_29,0.000317556241891773
feature_20,0.00030858943585759373
feature_23,0.0
feature_25,0.0
feature_24,0.0
feature_13,0.0
feature_12,0.0
feature_6,0.0
feature_18,0.0
feature_7,0.0
feature_9,0.0
feature_10,0.0
feature_1,0.0
