feature,mean_importance
feature_29,-2.114439918840527e-06
feature_1,0.0
feature_25,0.0
feature_24,0.0
feature_18,0.0
feature_12,0.0
feature_14,0.0
feature_9,1.9349385671843522e-08
feature_26,2.0404164934855611e-07
feature_3,8.161665973959592e-07
feature_13,8.96799993659915e-07
feature_20,1.399837922915273e-06
feature_7,1.836374844140301e-06
feature_22,2.142437318164783e-06
feature_4,3.6727496882811224e-06
feature_10,2.152938218491999e-05
feature_16,7.372163535891932e-05
feature_19,0.00010396730269097605
feature_21,0.00015003894823823922
feature_30,0.0002897999722755701
feature_11,0.0003242170129105947
feature_23,0.00046798125049457383
feature_28,0.0005290117047166051
feature_27,0.0005478482750532674
feature_2,0.0011189174634114768
feature_6,0.0015814255013056762
feature_5,0.0025722077603934496
feature_17,0.0026172990974676845
feature_8,0.007112670303038105
feature_15,0.0168134714820503
