feature,mean_importance
feature_25,-9.635751948171854e-06
feature_17,-9.535839714628963e-06
feature_22,-9.516050437412358e-06
feature_10,-8.752624045317222e-06
feature_7,-8.655104801979802e-06
feature_14,-7.897434547599536e-06
feature_6,6.427118120149334e-07
feature_24,1.2421513003114687e-06
feature_26,1.8386917880334683e-06
feature_3,6.680543739226701e-06
feature_20,7.00260969136125e-06
feature_16,1.0450238422965788e-05
feature_4,1.2854360222760725e-05
feature_18,1.4927766242267635e-05
feature_29,1.6894883572044894e-05
feature_23,2.1398868244479904e-05
feature_28,2.3104441258553054e-05
feature_2,2.5624342335410586e-05
feature_19,3.286028238133239e-05
feature_30,4.497678331669436e-05
feature_1,4.8763390490340035e-05
feature_12,5.296121667709851e-05
feature_27,5.313213610778746e-05
feature_9,5.461624571781736e-05
feature_13,9.946999020808968e-05
feature_21,0.00011592044938644502
feature_8,0.00013644090659974085
feature_11,0.00044633634557768884
feature_5,0.0006757656860989265
feature_15,0.002126352085134237
