feature,shap_importance
feature_5,0.7741827
feature_15,0.604446
feature_30,0.3067969
feature_13,0.22860931
feature_11,0.22277871
feature_29,0.21590702
feature_9,0.17385714
feature_17,0.16976704
feature_8,0.15425625
feature_20,0.1483712
feature_1,0.14603917
feature_22,0.13449332
feature_12,0.12975484
feature_25,0.12874343
feature_7,0.11507363
feature_19,0.11279278
feature_23,0.10444518
feature_4,0.10436653
feature_27,0.09200971
feature_10,0.0862272
feature_24,0.08487306
feature_21,0.081546955
feature_6,0.08058546
feature_16,0.07692099
feature_14,0.076532245
feature_18,0.07208146
feature_28,0.056363106
feature_3,0.05551163
feature_2,0.04164786
feature_26,0.036382973
