feature,mean_importance
feature_6,-0.00021676604149174485
feature_19,-0.00017466858489330415
feature_22,-9.299868443224382e-05
feature_18,-8.679823575444088e-05
feature_29,-6.28243724417269e-05
feature_30,-4.5406278696974616e-05
feature_10,-4.315915013746305e-05
feature_1,-4.141347969652048e-05
feature_23,-3.734090456932642e-05
feature_24,-2.7439497566963e-05
feature_7,-1.4333759542830855e-05
feature_21,2.4087829255813216e-06
feature_20,5.751995384412935e-06
feature_17,1.0372784741773025e-05
feature_14,2.7668072368537168e-05
feature_16,3.173700168040252e-05
feature_26,3.7845329554235613e-05
feature_28,3.7949535997986066e-05
feature_27,5.153830004042126e-05
feature_3,6.03582670545077e-05
feature_25,6.32088736602151e-05
feature_9,0.0002084497838106887
feature_2,0.00020932226702972652
feature_11,0.000293147101678491
feature_12,0.0003970704996683524
feature_8,0.0004941193436583248
feature_5,0.0005657095295513412
feature_4,0.0013908682221441854
feature_13,0.0015895238192174053
feature_15,0.0016002370589344402
