feature,mean_importance
feature_30,0.0
feature_29,0.0
feature_14,0.0
feature_19,0.0
feature_20,0.0
feature_10,0.0
feature_16,0.0
feature_9,0.0
feature_23,0.0
feature_6,0.0
feature_4,0.0
feature_25,0.0
feature_26,0.0
feature_17,0.0
feature_21,8.673617379884036e-20
feature_8,8.673617379884036e-20
feature_24,5.276617658436789e-11
feature_1,1.4971275421691351e-05
feature_7,2.3458195465709317e-05
feature_28,2.567222262251116e-05
feature_2,3.0170861408908722e-05
feature_3,3.244733299202548e-05
feature_22,4.452540291854847e-05
feature_12,8.409944268407375e-05
feature_5,0.00010548097334781969
feature_27,0.00012494276066398418
feature_11,0.00034994339674434074
feature_18,0.0006088596404404462
feature_13,0.0015851336324622738
feature_15,0.00365307022601317
