feature,mean_importance
feature_6,-1.052275085760071e-05
feature_26,-3.6582657757243917e-06
feature_2,-3.0645603959129387e-06
feature_9,-2.915308985963587e-07
feature_24,-1.047150454975415e-09
feature_14,2.6020852139652105e-19
feature_7,4.336808689942018e-19
feature_3,5.204170427930421e-19
feature_21,6.071532165918824e-19
feature_20,6.071532165918824e-19
feature_23,6.071532165918824e-19
feature_30,6.071532165918824e-19
feature_25,8.673617379884035e-19
feature_19,2.1279531410051296e-06
feature_17,2.3996085166928283e-06
feature_10,3.5326832298688755e-06
feature_22,4.178208344777449e-06
feature_16,6.460521563157913e-06
feature_29,9.12820432829916e-06
feature_8,1.4282978517743666e-05
feature_12,2.9898772954933644e-05
feature_4,3.363859853154965e-05
feature_5,5.472669077482544e-05
feature_28,6.890482392178723e-05
feature_1,0.00011879872338358159
feature_27,0.0001668918429590314
feature_11,0.00021330453099063828
feature_13,0.0009142989075678149
feature_18,0.0013075800288350561
feature_15,0.0019345577441729118
