feature,shap_importance
feature_18,0.0012980797994343006
feature_15,0.0008003794059143326
feature_13,0.000648827959066401
feature_11,0.00016865818374476265
feature_1,8.818573033638425e-05
feature_27,7.664675875135977e-05
feature_4,5.0035984042139445e-05
feature_5,4.3112975814540076e-05
feature_28,3.588501809689858e-05
feature_12,3.034088804925389e-05
feature_17,2.2407697225737574e-05
feature_8,1.4502632379835726e-05
feature_26,1.430648077272561e-05
feature_29,7.0209928718837834e-06
feature_22,5.639662977054479e-06
feature_16,3.513960241121269e-06
feature_9,3.3222421372292944e-06
feature_10,1.7132735808970264e-06
feature_6,1.5975142783826802e-06
feature_2,1.0062057232383105e-06
feature_19,7.473783657057912e-07
feature_24,4.2735760947622357e-07
feature_30,2.6766209367992655e-07
feature_20,6.961420599871416e-08
feature_14,0.0
feature_21,0.0
feature_23,0.0
feature_25,0.0
feature_7,0.0
feature_3,0.0
